RollID,Campaign,Episode,Time,Player,Character,Type of Roll,D20?,Total Roll,Natural Roll,Crit?,Notes
13656,The Mighty Nein,2,03:27:18,Taliesin,Molly,Stealth,Yes,17,14,No,null
13657,The Mighty Nein,2,03:27:18,Laura,Jester,Stealth,Yes,18,15,No,null
13658,The Mighty Nein,2,03:27:18,Sam,Nott,Stealth,Yes,25,17,No,null
13659,The Mighty Nein,2,03:39:00,Sam,Nott,Stealth,Yes,21,13,No,null
13660,The Mighty Nein,2,03:39:01,Marisha,Beau,Stealth,Yes,13,7,No,null
13661,The Mighty Nein,2,03:39:03,Taliesin,Molly,Stealth,Yes,null,null,No,Disregarded due to advantage
13662,The Mighty Nein,2,03:39:03,Taliesin,Molly,Stealth,Yes,13,10,No,With advantage
13663,The Mighty Nein,2,03:39:06,Laura,Jester,Stealth,Yes,12,9,No,null
13664,The Mighty Nein,2,03:41:37,Marisha,Beau,Insight,Yes,15,10,No,null
13665,The Mighty Nein,2,03:42:00,Sam,Nott,Stealth,Yes,23,15,No,null
13666,The Mighty Nein,2,03:42:00,Laura,Jester,Stealth,Yes,9,6,No,null
13667,The Mighty Nein,2,03:44:04,Laura,Jester,Persuasion,Yes,5,2,No,null
13668,The Mighty Nein,2,03:44:04,Laura,Jester,Perception,Yes,17,14,No,null
13669,The Mighty Nein,2,03:47:01,Sam,Nott,Perception,Yes,1,1,Yes,null
13670,The Mighty Nein,2,03:57:08,Marisha,Beau,Deception,Yes,15,12,No,null
13671,The Mighty Nein,2,03:58:25,Sam,Nott,Stealth,Yes,22,14,No,null
13672,The Mighty Nein,2,03:58:25,Laura,Jester,Stealth,Yes,23,20,Yes,null
13673,The Mighty Nein,2,04:01:50,Marisha,Beau,Insight,Yes,24,20,Yes,null
13674,The Mighty Nein,2,04:03:12,Laura,Jester,Insight,Yes,7,4,No,null
13675,The Mighty Nein,3,00:09:27,Marisha,Beau,Initiative,Yes,24,20,Yes,null
13676,The Mighty Nein,3,00:09:34,Sam,Nott,Initiative,Yes,5,1,Yes,null
13677,The Mighty Nein,3,00:09:41,Laura,Jester,Initiative,Yes,4,1,Yes,null
13678,The Mighty Nein,3,00:10:03,Liam,Caleb,Initiative,Yes,11,10,No,null
13679,The Mighty Nein,3,00:10:11,Taliesin,Molly,Initiative,Yes,8,5,No,null
13680,The Mighty Nein,3,00:10:18,Travis,Fjord,Initiative,Yes,3,3,No,null
13681,The Mighty Nein,3,00:15:10,Marisha,Beau,Athletics,Yes,9,5,No,null
13682,The Mighty Nein,3,00:15:25,Marisha,Beau,Damage,No,8,null,No,null
13683,The Mighty Nein,3,00:16:05,Marisha,Beau,Attack,Yes,19,13,No,Unarmed Strike
13684,The Mighty Nein,3,00:16:11,Marisha,Beau,Attack,Yes,7,1,Yes,Unarmed Strike
13685,The Mighty Nein,3,00:17:22,Liam,Caleb,Spell Attack,Yes,23,17,No,Chromatic Orb (Cold)
13686,The Mighty Nein,3,00:17:33,Liam,Caleb,Damage,No,9,null,No,null
13687,The Mighty Nein,3,00:19:00,Taliesin,Molly,Attack,Yes,20,15,No,Scimitar
13688,The Mighty Nein,3,00:19:00,Taliesin,Molly,Attack,Yes,25,20,Yes,Scimitar
13689,The Mighty Nein,3,00:19:32,Taliesin,Molly,Damage,No,9,null,No,null
13690,The Mighty Nein,3,00:19:42,Taliesin,Molly,Damage,No,13,null,No,null
13691,The Mighty Nein,3,00:21:09,Taliesin,Molly,Damage,No,3,null,No,Blood Curse of the Eyeless (amplified)
13692,The Mighty Nein,3,00:22:36,Sam,Nott,Attack,Yes,17,11,No,Hand Crossbow SA
13693,The Mighty Nein,3,00:23:02,Sam,Nott,Damage,No,9,null,No,null
13694,The Mighty Nein,3,00:23:06,Sam,Nott,Damage,No,2,null,No,Sneak Attack
13695,The Mighty Nein,3,00:25:14,Travis,Fjord,Spell Attack,Yes,14,8,No,Eldtritch Blast
13696,The Mighty Nein,3,00:25:23,Travis,Fjord,Damage,No,9,null,No,null
13697,The Mighty Nein,3,00:26:26,Marisha,Beau,Attack,Yes,13,7,No,Staff
13698,The Mighty Nein,3,00:26:39,Marisha,Beau,Damage,No,11,null,No,null
13699,The Mighty Nein,3,00:27:17,Marisha,Beau,Attack,Yes,16,10,No,Unarmed Strike
13700,The Mighty Nein,3,00:27:30,Marisha,Beau,Damage,No,6,null,No,null
13701,The Mighty Nein,3,00:28:23,Liam,Caleb,Spell Attack,Yes,17,11,No,Fire Bolt
13702,The Mighty Nein,3,00:28:31,Liam,Caleb,Damage,No,4,null,No,null
13703,The Mighty Nein,3,00:29:46,Taliesin,Molly,Attack,Yes,8,3,No,Scimitar
13704,The Mighty Nein,3,00:29:50,Taliesin,Molly,Attack,Yes,16,11,No,Scimitar
13705,The Mighty Nein,3,00:29:55,Taliesin,Molly,Damage,No,9,null,No,null
13706,The Mighty Nein,3,00:32:34,Sam,Nott,Attack,Yes,26,20,Yes,Hand Crossbow (HDYWTDT)
13707,The Mighty Nein,3,00:36:07,Laura,Jester,Medicine,Yes,9,4,No,null
13708,The Mighty Nein,3,00:36:44,Sam,Nott,Perception,Yes,20,20,Yes,null
13709,The Mighty Nein,3,00:40:34,Sam,Nott,Religion,Yes,4,1,Yes,null
13710,The Mighty Nein,3,00:44:41,Travis,Fjord,Perception,Yes,14,14,No,null
13711,The Mighty Nein,3,00:52:50,Marisha,Beau,Perception,Yes,23,20,Yes,null
13712,The Mighty Nein,3,00:55:50,Travis,Fjord,Survival,Yes,3,5,No,null
13713,The Mighty Nein,3,00:57:45,Marisha,Beau,Survival,Yes,8,5,No,null
13714,The Mighty Nein,3,00:59:32,Laura,Jester,Survival,Yes,11,8,No,null
13715,The Mighty Nein,3,01:00:18,Travis,Fjord,Investigation,Yes,14,10,No,null
13716,The Mighty Nein,3,01:02:01,Taliesin,Molly,Hit Dice,No,11,null,No,Molly heals 11 points
13717,The Mighty Nein,3,01:03:31,Taliesin,Molly,Survival,Yes,null,null,No,Disregarded due to advantage
13718,The Mighty Nein,3,01:03:31,Taliesin,Molly,Survival,Yes,18,15,No,With advantage
13719,The Mighty Nein,3,01:06:10,Taliesin,Molly,Religion,Yes,null,null,No,Disregarded due to advantage
13720,The Mighty Nein,3,01:06:10,Taliesin,Molly,Religion,Yes,15,15,No,With advantage
13721,The Mighty Nein,3,01:10:03,Marisha,Beau,Animal Handling,Yes,6,3,No,null
13722,The Mighty Nein,3,01:10:46,Taliesin,Molly,Animal Handling,Yes,9,6,No,null
13723,The Mighty Nein,3,01:11:11,Laura,Jester,Animal Handling,Yes,null,null,No,Disregarded due to advantage
13724,The Mighty Nein,3,01:11:11,Laura,Jester,Animal Handling,Yes,13,10,No,With advantage
13725,The Mighty Nein,3,01:12:00,Taliesin,Molly,Stealth,Yes,23,20,Yes,null
13726,The Mighty Nein,3,01:12:29,Travis,Fjord,Stealth,Yes,18,18,No,null
13727,The Mighty Nein,3,01:12:32,Liam,Caleb,Stealth,Yes,16,15,No,null
13728,The Mighty Nein,3,01:12:34,Marisha,Beau,Stealth,Yes,17,11,No,null
13729,The Mighty Nein,3,01:12:35,Laura,Jester,Stealth,Yes,18,15,No,null
13730,The Mighty Nein,3,01:18:19,Sam,Nott,Intelligence,Yes,8,5,No,null
13731,The Mighty Nein,3,01:23:37,Sam,Nott,Stealth,Yes,11,3,No,With advantage
13732,The Mighty Nein,3,01:23:37,Sam,Nott,Stealth,Yes,null,null,No,Disregarded due to advantage
13733,The Mighty Nein,3,01:31:25,Taliesin,Molly,Religion,Yes,9,9,No,null
13734,The Mighty Nein,3,01:31:26,Laura,Jester,Religion,Yes,14,13,No,null
13735,The Mighty Nein,3,01:44:18,Liam,Frumpkin,Perception,Yes,9,6,No,null
13736,The Mighty Nein,3,01:45:05,Liam,Frumpkin,Perception,Yes,8,5,No,null
13737,The Mighty Nein,3,01:46:59,Sam,Nott,Intelligence,Yes,4,1,Yes,null
13738,The Mighty Nein,3,02:00:22,Travis,Fjord,Deception,Yes,15,9,No,null
13739,The Mighty Nein,3,02:00:54,Marisha,Beau,Stealth,Yes,7,1,Yes,null
13740,The Mighty Nein,3,02:00:57,Taliesin,Molly,Stealth,Yes,18,15,No,null
13741,The Mighty Nein,3,02:00:57,Laura,Jester,Stealth,Yes,21,18,No,null
13742,The Mighty Nein,3,02:12:07,Travis,Fjord,Perception,Yes,13,13,No,null
13743,The Mighty Nein,3,02:12:07,Marisha,Beau,Perception,Yes,null,null,No,null
13744,The Mighty Nein,3,02:12:23,Taliesin,Molly,Perception,Yes,8,5,No,null
13745,The Mighty Nein,3,02:12:24,Liam,Caleb,Perception,Yes,20,17,No,null
13746,The Mighty Nein,3,02:30:24,Laura,Jester,Deception,Yes,14,11,No,null
13747,The Mighty Nein,3,02:32:27,Taliesin,Molly,Survival,Yes,8,5,No,null
13748,The Mighty Nein,3,02:33:28,Liam,Frumpkin,Perception,Yes,null,null,No,Disregarded due to disadvantage
13749,The Mighty Nein,3,02:33:28,Liam,Frumpkin,Perception,Yes,7,4,No,With disadvantage
13750,The Mighty Nein,3,02:34:07,Marisha,Beau,Perception,Yes,8,5,No,Same natural roll as the Investigation check afterwards
13751,The Mighty Nein,3,02:34:22,Marisha,Beau,Investigation,Yes,7,5,No,null
13752,The Mighty Nein,3,02:36:35,Laura,Jester,Stealth,Yes,17,14,No,null
13753,The Mighty Nein,3,02:36:36,Taliesin,Molly,Stealth,Yes,19,16,No,null
13754,The Mighty Nein,3,02:36:37,Travis,Fjord,Stealth,Yes,16,16,No,null
13755,The Mighty Nein,3,02:36:38,Marisha,Beau,Stealth,Yes,17,11,No,null
13756,The Mighty Nein,3,02:36:39,Liam,Caleb,Stealth,Yes,15,14,No,null
13757,The Mighty Nein,3,02:36:39,Sam,Nott,Stealth,Yes,16,8,No,null
13758,The Mighty Nein,3,02:39:12,Marisha,Beau,Perception,Yes,null,null,No,Disregarded due to advantage
13759,The Mighty Nein,3,02:39:12,Marisha,Beau,Perception,Yes,20,17,No,With advantage
13760,The Mighty Nein,3,02:41:46,Taliesin,Molly,Perception,Yes,6,3,No,null
13761,The Mighty Nein,3,02:44:46,Taliesin,Molly,Initiative,Yes,18,15,No,null
13762,The Mighty Nein,3,02:44:47,Marisha,Beau,Initiative,Yes,16,12,No,null
13763,The Mighty Nein,3,02:45:00,Laura,Jester,Initiative,Yes,16,13,No,null
13764,The Mighty Nein,3,02:45:03,Liam,Caleb,Initiative,Yes,15,14,No,null
13765,The Mighty Nein,3,02:45:24,Sam,Nott,Initiative,Yes,11,7,No,null
13766,The Mighty Nein,3,02:45:29,Travis,Fjord,Initiative,Yes,5,5,No,null
13767,The Mighty Nein,3,02:46:26,Taliesin,Molly,Damage,No,1,null,No,Rite of the Frozen
13768,The Mighty Nein,3,02:47:49,Marisha,Beau,Attack,Yes,21,15,No,Staff
13769,The Mighty Nein,3,02:47:57,Marisha,Beau,Damage,No,7,null,No,null
13770,The Mighty Nein,3,02:49:32,Sam,Nott,Wisdom Save,Yes,15,15,No,Against Toya's singing
13771,The Mighty Nein,3,02:49:35,Marisha,Beau,Wisdom Save,Yes,15,12,No,Against Toya's singing
13772,The Mighty Nein,3,02:49:36,Taliesin,Molly,Wisdom Save,Yes,20,15,No,Against Toya's singing
13773,The Mighty Nein,3,02:49:38,Travis,Fjord,Wisdom Save,Yes,17,17,No,Against Toya's singing
13774,The Mighty Nein,3,02:49:40,Liam,Caleb,Wisdom Save,Yes,20,15,No,Against Toya's singing
13775,The Mighty Nein,3,02:49:44,Laura,Jester,Wisdom Save,Yes,9,4,No,Against Toya's singing- Jester has disadvantage on attack rolls for the next round
13776,The Mighty Nein,3,02:51:47,Marisha,Beau,Acrobatics,Yes,15,9,No,null
13777,The Mighty Nein,3,02:52:14,Marisha,Beau,Athletics,Yes,18,14,No,null
13778,The Mighty Nein,3,02:52:59,Marisha,Beau,Attack,Yes,11,5,No,Staff to crush Toya's throat
13779,The Mighty Nein,3,02:54:55,Sam,Nott,Attack,Yes,8,2,No,Shortsword
13780,The Mighty Nein,3,02:57:27,Travis,Fjord,Spell Attack,Yes,25,19,No,Eldritch Blast
13781,The Mighty Nein,3,02:57:42,Travis,Fjord,Damage,No,15,null,No,null
13782,The Mighty Nein,3,02:59:34,Taliesin,Molly,Attack,Yes,13,8,No,Scimitar
13783,The Mighty Nein,3,02:59:46,Taliesin,Molly,Damage,No,9,null,No,null
13784,The Mighty Nein,3,03:00:33,Taliesin,Molly,Constitution Save,Yes,11,9,No,Against Imp Sting
13785,The Mighty Nein,3,03:01:10,Travis,Fjord,Damage,No,4,null,No,null
13786,The Mighty Nein,3,03:01:58,Taliesin,Molly,Attack,Yes,19,14,No,Scimitar
13787,The Mighty Nein,3,03:02:04,Taliesin,Molly,Damage,No,7,null,No,null
13788,The Mighty Nein,3,03:03:23,Liam,Caleb,Wisdom Save,Yes,20,15,No,Against Siphon Life
13789,The Mighty Nein,3,03:04:02,Taliesin,Molly,Wisdom Save,Yes,16,11,No,Against Toya's singing
13790,The Mighty Nein,3,03:04:03,Travis,Fjord,Wisdom Save,Yes,14,14,No,Against Toya's singing
13791,The Mighty Nein,3,03:04:04,Laura,Jester,Wisdom Save,Yes,21,16,No,Against Toya's singing
13792,The Mighty Nein,3,03:04:05,Sam,Nott,Wisdom Save,Yes,19,19,No,null
13793,The Mighty Nein,3,03:04:06,Marisha,Beau,Wisdom Save,Yes,19,16,No,Against Toya's singing
13794,The Mighty Nein,3,03:04:10,Liam,Caleb,Wisdom Save,Yes,23,18,No,Against Toya's singing
