RollID,Campaign,Episode,Time,Player,Character,Type of Roll,D20?,Total Roll,Natural Roll,Crit?,Notes
48,Vox Machina,1,02:33:17,Laura,Vex,Damage,No,30,null,No,null
49,Vox Machina,1,02:34:17,Laura,Vex,Damage,No,10,null,No,null
50,Vox Machina,1,02:34:54,Travis,Grog,Insight,Yes,null,20,Yes,null
51,Vox Machina,1,02:34:54,Marisha,Keyleth,Insight,Yes,20,10,No,null
52,Vox Machina,1,02:34:54,Taliesin,Percy,Insight,Yes,null,1,Yes,null
53,Vox Machina,1,02:34:54,Sam,Scanlan,Insight,Yes,null,null,No,Gestures for bad roll- no number
54,Vox Machina,1,02:34:54,Orion,Tiberius,Insight,Yes,4,7,No,null
55,Vox Machina,1,02:34:54,Liam,Vax,Insight,Yes,4,2,No,null
56,Vox Machina,1,02:34:54,Laura,Vex,Insight,Yes,22,16,No,null
57,Vox Machina,1,02:36:28,Travis,Grog,Attack,Yes,26,18,No,Axe
58,Vox Machina,1,02:36:39,Travis,Grog,Damage,No,13,null,No,null
59,Vox Machina,1,02:37:07,Travis,Grog,Attack,Yes,21,13,No,Axe
60,Vox Machina,1,02:37:11,Travis,Grog,Damage,No,15,null,No,null
61,Vox Machina,1,02:39:00,Liam,Vax,Attack,Yes,null,1,Yes,null
62,Vox Machina,1,02:39:00,Liam,Vax,Attack,Yes,null,20,Yes,Dagger of Venom
63,Vox Machina,1,02:39:15,Liam,Vax,Damage,No,35,null,No,Damage should include poison-  number not given because dead without
64,Vox Machina,1,02:41:30,Marisha,Keyleth,Intimidation,Yes,4,4,No,null
65,Vox Machina,1,02:47:55,Orion,Tiberius,Attack,Yes,23,14,No,Scorching Ray
66,Vox Machina,1,02:48:08,Orion,Tiberius,Damage,No,12,null,No,null
67,Vox Machina,1,02:48:17,Orion,Tiberius,Attack,Yes,null,20,Yes,Scorching Ray
68,Vox Machina,1,02:48:38,Orion,Tiberius,Damage,No,12,null,No,null
69,Vox Machina,1,02:49:04,Laura,Vex,Stealth,Yes,20,11,No,null
70,Vox Machina,1,02:49:42,Laura,Vex,Attack,Yes,21,10,No,Arrow through Blazing Bowstring
71,Vox Machina,1,02:50:10,Laura,Vex,Damage,No,18,null,No,null
72,Vox Machina,1,02:50:26,Laura,Vex,Attack,Yes,24,13,No,Arrow through Blazing Bowstring
73,Vox Machina,1,02:50:34,Laura,Vex,Damage,No,14,null,No,null
74,Vox Machina,1,02:51:12,Travis,Grog,Attack,Yes,17,9,No,Thrown Axe
75,Vox Machina,1,02:51:24,Travis,Grog,Damage,No,15,null,No,null
76,Vox Machina,1,02:51:34,Laura,Vex,Damage,No,6,null,No,Hunter's Mark
77,Vox Machina,1,02:51:45,Travis,Grog,Athletics,Yes,12,5,No,null
78,Vox Machina,1,02:54:25,Marisha,Keyleth,Constitution Save,Yes,null,1,Yes,null
79,Vox Machina,1,02:55:11,Orion,Tiberius,Constitution Save,Yes,16,9,No,null
80,Vox Machina,1,02:56:10,Liam,Vax,Attack,Yes,30,19,No,Dagger with Sneak Attack
81,Vox Machina,1,02:56:30,Liam,Vax,Attack,Yes,26,16,No,Dagger
82,Vox Machina,1,02:56:45,Liam,Vax,Damage,No,44,null,No,null
83,Vox Machina,1,02:57:00,Liam,Vax,Damage,No,6,null,No,null
84,Vox Machina,1,02:58:11,Marisha,Keyleth,Damage,No,8,null,No,Thunderwave
85,Vox Machina,1,03:00:07,Sam,Scanlan,Damage,No,24,null,No,Lightning Bolt- FIRST HDYWTDT
86,Vox Machina,2,00:16:32,Marisha,Keyleth,Constitution Save,Yes,null,null,No,Disregarded due to advantage
87,Vox Machina,2,00:16:32,Marisha,Keyleth,Constitution Save,Yes,13,10,No,With advantage
88,Vox Machina,2,00:22:27,Taliesin,Percy,Persuasion,Yes,14,12,No,null
89,Vox Machina,2,00:24:00,Liam,Vax,Sleight of Hand,Yes,11,2,No,null
90,Vox Machina,2,00:24:25,Liam,Vax,Inspiration,No,8,null,No,null
91,Vox Machina,2,00:26:50,Laura,Vex,Investigation,Yes,25,null,No,Bad math or actually proficent?
92,Vox Machina,2,00:42:07,Laura,Vex,Perception,Yes,null,1,Yes,null
93,Vox Machina,2,00:42:10,Taliesin,Percy,Perception,Yes,10,3,No,Assists Vex
94,Vox Machina,2,00:42:10,Liam,Vax,Perception,Yes,10,3,No,This one was mouthed.
95,Vox Machina,2,00:44:00,Liam,Vax,Dexterity Save,Yes,12,3,No,null
96,Vox Machina,2,00:45:38,Orion,Tiberius,Arcana,Yes,13,7,No,null
97,Vox Machina,2,00:51:38,Orion,Tiberius,Persuasion,Yes,11,2,No,null
98,Vox Machina,2,00:53:45,Marisha,Keyleth,Persuasion,Yes,8,8,No,null
99,Vox Machina,2,00:53:45,Marisha,Keyleth,Persuasion,Yes,null,null,No,Disregarded due to disadvantage
100,Vox Machina,2,00:55:38,Liam,Vax,Persuasion,Yes,null,20,Yes,Disregarded due to disadvantage
101,Vox Machina,2,00:55:38,Liam,Vax,Persuasion,Yes,19,17,No,null
102,Vox Machina,2,01:02:54,Laura,Vex,Persuasion,Yes,15,8,No,null
103,Vox Machina,2,01:11:00,Taliesin,Percy,Tinkering,Yes,10,null,No,Trapping Arrow- Includes inspiration die- amount not given
104,Vox Machina,2,01:15:30,Taliesin,Percy,Arcana,Yes,15,12,No,null
105,Vox Machina,2,01:15:52,Laura,Vex,Investigation,Yes,null,1,Yes,null
106,Vox Machina,2,01:15:52,Marisha,Keyleth,Investigation,Yes,5,3,No,Assists Vex
107,Vox Machina,2,01:22:25,Laura,Vex,Investigation,Yes,17,15,No,null
108,Vox Machina,2,01:26:25,Liam,Vax,Stealth,Yes,29,16,No,null
109,Vox Machina,2,01:43:54,Laura,Vex,Stealth,Yes,17,8,No,null
110,Vox Machina,2,01:43:54,Liam,Vax,Stealth,Yes,18,5,No,null
111,Vox Machina,2,01:44:44,Liam,Vax,Perception,Yes,18,8,No,null
112,Vox Machina,2,01:46:39,Marisha,Keyleth,Perception,Yes,12,2,No,null
113,Vox Machina,2,01:50:45,Sam,Scanlan,Other,No,3,null,No,Cutting words reaction
114,Vox Machina,2,01:51:40,Travis,Grog,Initiative,Yes,14,12,No,null
115,Vox Machina,2,01:51:40,Marisha,Keyleth,Initiative,Yes,17,15,No,null
116,Vox Machina,2,01:51:40,Taliesin,Percy,Initiative,Yes,17,10,No,null
117,Vox Machina,2,01:51:40,Sam,Scanlan,Initiative,Yes,19,19,No,null
118,Vox Machina,2,01:51:40,Orion,Tiberius,Initiative,Yes,13,10,No,null
119,Vox Machina,2,01:51:40,Liam,Vax,Initiative,Yes,15,10,No,null
120,Vox Machina,2,01:51:40,Laura,Vex,Initiative,Yes,24,19,No,null
121,Vox Machina,2,01:52:54,Laura,Vex,Charisma Save,Yes,13,8,No,null
122,Vox Machina,2,01:55:09,Sam,Scanlan,Healing,No,9,null,No,Healing Word- Percy heals 5 points
123,Vox Machina,2,01:55:57,Taliesin,Percy,Attack,Yes,30,19,No,Disregarded due to disadvantage
124,Vox Machina,2,01:55:57,Taliesin,Percy,Attack,Yes,25,19,No,Pepperbox Ice Shot
125,Vox Machina,2,01:56:28,Taliesin,Percy,Damage,No,14,null,No,null
126,Vox Machina,2,01:56:48,Taliesin,Percy,Attack,Yes,null,null,No,Pepperbox Misfire
127,Vox Machina,2,01:59:30,Marisha,Keyleth,Charisma Save,Yes,16,16,No,null
128,Vox Machina,2,01:59:45,Marisha,Keyleth,Attack,Yes,14,9,No,Claw Attack
129,Vox Machina,2,01:59:55,Marisha,Keyleth,Attack,Yes,19,14,No,Claw Attack
130,Vox Machina,2,02:00:09,Marisha,Keyleth,Attack,Yes,18,13,No,Claw Attack
131,Vox Machina,2,02:00:20,Marisha,Keyleth,Damage,No,20,null,No,null
132,Vox Machina,2,02:03:14,Liam,Vax,Attack,Yes,20,9,No,Dagger with Sneak Attack
133,Vox Machina,2,02:03:14,Liam,Vax,Attack,Yes,18,8,No,Flame-Tongue Dagger
134,Vox Machina,2,02:03:19,Liam,Vax,Damage,No,36,null,No,null
135,Vox Machina,2,02:04:00,Liam,Vax,Damage,No,3,null,No,null
136,Vox Machina,2,02:05:38,Travis,Grog,Charisma Save,Yes,11,10,No,null
137,Vox Machina,2,02:05:44,Travis,Grog,Charisma Save,Yes,5,4,No,Disregarded due to advantage
138,Vox Machina,2,02:06:22,Travis,Grog,Attack,Yes,null,1,Yes,Great Axe
139,Vox Machina,2,02:07:34,Orion,Tiberius,Arcana,Yes,17,11,No,null
140,Vox Machina,2,02:09:20,Laura,Vex,Attack,Yes,23,12,No,Disregarded due to disadvantage
141,Vox Machina,2,02:09:20,Laura,Vex,Attack,Yes,23,12,No,Arrow through Blood-Seeking Bow and HM
142,Vox Machina,2,02:09:40,Laura,Vex,Attack,Yes,null,null,No,Arrow
143,Vox Machina,2,02:09:40,Laura,Vex,Attack,Yes,26,15,No,null
144,Vox Machina,2,02:10:10,Laura,Vex,Damage,No,29,null,No,null
145,Vox Machina,2,02:11:50,Sam,Scanlan,Attack,Yes,19,10,No,Roll for Polymorph
146,Vox Machina,2,02:13:30,Taliesin,Percy,Attack,Yes,14,3,No,Pepperbox Fire Shot
147,Vox Machina,2,02:13:30,Taliesin,Percy,Attack,Yes,null,null,No,Disregarded due to disadvantage
148,Vox Machina,2,02:13:50,Taliesin,Percy,Inspiration,No,3,null,No,null
149,Vox Machina,2,02:14:00,Taliesin,Percy,Damage,No,17,null,No,null
150,Vox Machina,2,02:16:12,Marisha,Keyleth,Attack,Yes,null,20,Yes,Grapple – no crit effect
151,Vox Machina,2,02:17:01,Marisha,Keyleth,Athletics,Yes,20,14,No,null
152,Vox Machina,2,02:19:25,Liam,Vax,Dexterity,Yes,21,12,No,null
153,Vox Machina,2,02:20:22,Liam,Vax,Acrobatics,Yes,29,16,No,null
154,Vox Machina,2,02:20:39,Liam,Vax,Attack,Yes,15,4,No,Dagger
155,Vox Machina,2,02:21:20,Travis,Grog,Attack,Yes,26,18,No,Great Axe
156,Vox Machina,2,02:21:20,Travis,Grog,Attack,Yes,26,18,No,Great Axe
157,Vox Machina,2,02:21:20,Travis,Grog,Attack,Yes,25,17,No,Great Axe
158,Vox Machina,2,02:22:05,Travis,Grog,Damage,No,8,null,No,null
159,Vox Machina,2,02:22:05,Travis,Grog,Damage,No,16,null,No,null
160,Vox Machina,2,02:22:05,Travis,Grog,Damage,No,10,null,No,null
161,Vox Machina,2,02:23:49,Orion,Tiberius,Attack,Yes,10,1,No,Firebolt
162,Vox Machina,2,02:23:49,Orion,Tiberius,Attack,Yes,11,2,No,Disregarded due to disadvantage
163,Vox Machina,2,02:24:33,Laura,Vex,Attack,Yes,20,9,No,Disregarded due to disadvantage
164,Vox Machina,2,02:24:33,Laura,Vex,Attack,Yes,20,9,No,Arrow
165,Vox Machina,2,02:24:38,Laura,Vex,Attack,Yes,19,8,No,Arrow
166,Vox Machina,2,02:24:38,Laura,Vex,Attack,Yes,null,null,No,Disregarded due to disadvantage
167,Vox Machina,2,02:25:03,Laura,Vex,Damage,No,24,null,No,null
168,Vox Machina,2,02:26:05,Sam,Scanlan,Damage,No,28,null,No,Lightning Bolt
169,Vox Machina,2,02:27:05,Taliesin,Percy,Attack,Yes,24,13,No,Pepperbox
170,Vox Machina,2,02:27:05,Taliesin,Percy,Attack,Yes,null,null,No,Disregarded due to disadvantage
171,Vox Machina,2,02:27:15,Taliesin,Percy,Damage,No,6,null,No,null
172,Vox Machina,2,02:27:22,Taliesin,Percy,Attack,Yes,null,19,No,Pepperbox
173,Vox Machina,2,02:27:22,Taliesin,Percy,Attack,Yes,null,20,Yes,Disregarded due to disadvantage
174,Vox Machina,2,02:29:15,Marisha,Keyleth,Damage,No,11,null,No,Call Lightning
175,Vox Machina,2,02:31:02,Liam,Vax,Attack,Yes,null,null,No,Dagger
176,Vox Machina,2,02:31:04,Liam,Vax,Attack,Yes,27,17,No,Flame-Tongue Dagger with Sneak Attack
177,Vox Machina,2,02:31:30,Liam,Vax,Damage,No,24,null,No,HDYWTDT
178,Vox Machina,2,02:33:18,Marisha,Keyleth,Healing,No,20,null,No,Healing Scanlan
179,Vox Machina,2,02:35:35,Liam,Vax,Stealth,Yes,29,16,No,null
180,Vox Machina,2,02:39:08,Laura,Vex,Stealth,Yes,null,20,Yes,Disregarded due to disadvantage
181,Vox Machina,2,02:39:08,Laura,Vex,Stealth,Yes,22,13,No,null
182,Vox Machina,2,02:41:12,Sam,Scanlan,Healing,No,null,null,No,Potion on self- rolls not announced
183,Vox Machina,2,02:44:37,Travis,Grog,Intelligence Save,Yes,6,8,No,Grog unconscious due to failing INT save
184,Vox Machina,2,02:46:25,Orion,Tiberius,Damage,No,29,null,No,Glacial Blast
185,Vox Machina,2,02:47:52,Laura,Vex,Attack,Yes,27,16,No,Arrow
186,Vox Machina,2,02:48:13,Laura,Vex,Damage,No,11,null,No,null
187,Vox Machina,2,02:48:18,Laura,Vex,Attack,Yes,23,12,No,Arrow
188,Vox Machina,2,02:48:25,Laura,Vex,Damage,No,24,null,No,null
189,Vox Machina,2,02:51:52,Taliesin,Percy,Attack,Yes,null,19,No,Pepperbox with Sharp Shooter-  Assumed Nat19 due to 'I crit' not 'TWENTY'
190,Vox Machina,2,02:52:14,Taliesin,Percy,Damage,No,null,null,No,Incapacitated (non-lethal damage done over max HP) –  unknown due to crit-inclusive value announced by Taliesin)
191,Vox Machina,2,02:53:18,Marisha,Keyleth,Damage,No,22,null,No,Call Lightning
192,Vox Machina,2,02:54:36,Liam,Vax,Constitution,Yes,14,14,No,null
193,Vox Machina,2,02:54:36,Liam,Vax,Constitution,Yes,null,null,No,Disregarded due to advantage
194,Vox Machina,2,02:54:52,Liam,Vax,Inspiration,No,1,null,No,null
195,Vox Machina,2,02:56:23,Orion,Tiberius,Attack,Yes,14,5,No,Firebolt
196,Vox Machina,2,02:56:48,Laura,Vex,Attack,Yes,23,12,No,Arrow
197,Vox Machina,2,02:56:54,Laura,Vex,Damage,No,8,null,No,null
198,Vox Machina,2,02:57:21,Laura,Vex,Intimidation,Yes,8,5,No,null
199,Vox Machina,3,00:05:54,Taliesin,Percy,Medicine,Yes,19,16,No,null
200,Vox Machina,3,00:11:33,Taliesin,Percy,Intimidation,Yes,21,19,No,null
201,Vox Machina,3,00:12:32,Taliesin,Percy,History,Yes,14,7,No,null
202,Vox Machina,3,00:14:49,Laura,Vex,Intimidation,Yes,14,11,No,Disregarded due to advantage  (given due to Vax assist)
203,Vox Machina,3,00:14:59,Liam,Vax,Intimidation,Yes,19,19,No,null
204,Vox Machina,3,00:15:04,Laura,Vex,Intimidation,Yes,14,11,No,With advantage
205,Vox Machina,3,00:15:21,Sam,Scanlan,Insight,Yes,null,null,No,null
206,Vox Machina,3,00:15:33,Laura,Vex,Insight,Yes,24,18,No,null
207,Vox Machina,3,00:18:59,Sam,Scanlan,Arcana,Yes,null,null,No,null
208,Vox Machina,3,00:19:02,Orion,Tiberius,Arcana,Yes,24,18,No,null
209,Vox Machina,3,00:21:36,Marisha,Keyleth,Religion,Yes,8,6,No,null
210,Vox Machina,3,00:23:30,Liam,Vax,Religion,Yes,10,8,No,null
211,Vox Machina,3,00:23:30,Laura,Vex,Religion,Yes,null,null,No,null
212,Vox Machina,3,00:24:16,Orion,Tiberius,Religion,Yes,20,18,No,null
213,Vox Machina,3,00:30:14,Marisha,Keyleth,Wisdom,Yes,7,2,No,Disregarded due to advantage
214,Vox Machina,3,00:30:26,Marisha,Keyleth,Wisdom,Yes,29,17,No,With advantage
215,Vox Machina,3,00:30:33,Marisha,Keyleth,Inspiration,No,6,null,No,null
216,Vox Machina,3,00:36:25,Laura,Vex,Survival,Yes,19,13,No,null
217,Vox Machina,3,00:38:39,Liam,Vax,Stealth,Yes,null,20,Yes,null
218,Vox Machina,3,00:39:45,Laura,Vex,Stealth,Yes,16,7,No,null
219,Vox Machina,3,00:50:25,Orion,Tiberius,Arcana,Yes,20,14,No,null
220,Vox Machina,3,00:53:00,Travis,Grog,Stealth,Yes,6,4,No,null
221,Vox Machina,3,00:53:00,Marisha,Keyleth,Stealth,Yes,15,13,No,null
222,Vox Machina,3,00:53:00,Taliesin,Percy,Stealth,Yes,12,7,No,null
223,Vox Machina,3,00:53:00,Sam,Scanlan,Stealth,Yes,20,18,No,null
224,Vox Machina,3,00:53:00,Orion,Tiberius,Stealth,Yes,11,8,No,null
225,Vox Machina,3,00:53:00,Liam,Vax,Stealth,Yes,30,17,No,null
226,Vox Machina,3,00:53:00,Laura,Vex,Stealth,Yes,null,20,Yes,null
227,Vox Machina,3,00:55:48,Marisha,Keyleth,Perception,Yes,null,null,No,null
228,Vox Machina,3,00:57:51,Liam,Vax,Stealth,Yes,29,16,No,null
229,Vox Machina,3,00:57:51,Laura,Vex,Stealth,Yes,17,8,No,null
230,Vox Machina,3,00:57:51,Sam,Scanlan,Stealth,Yes,13,11,No,null
231,Vox Machina,3,01:04:43,Sam,Scanlan,Stealth,Yes,18,16,No,null
232,Vox Machina,3,01:04:43,Sam,Scanlan,Stealth,Yes,null,null,No,Disregarded due to advantage
233,Vox Machina,3,01:07:00,Sam,Scanlan,Stealth,Yes,19,17,No,With advantage
234,Vox Machina,3,01:07:00,Sam,Scanlan,Stealth,Yes,null,null,No,Disregarded due to advantage
235,Vox Machina,3,01:14:20,Sam,Scanlan,Stealth,Yes,21,19,No,With advantage
236,Vox Machina,3,01:14:20,Sam,Scanlan,Stealth,Yes,null,null,No,Disregarded due to advantage
237,Vox Machina,3,01:14:35,Sam,Scanlan,Survival,Yes,17,17,No,null
238,Vox Machina,3,01:28:30,Orion,Tiberius,Intelligence,Yes,14,12,No,null
239,Vox Machina,3,01:30:07,Taliesin,Percy,Intelligence,Yes,null,null,No,null
240,Vox Machina,3,01:30:30,Marisha,Keyleth,Intelligence,Yes,17,15,No,null
241,Vox Machina,3,01:53:15,Taliesin,Percy,Attack,Yes,null,null,No,Bad News- Misfire
242,Vox Machina,3,01:53:25,Laura,Vex,Attack,Yes,null,null,No,Arrow
243,Vox Machina,3,01:54:14,Liam,Vax,Dexterity,Yes,null,1,Yes,Disregarded due to advantage
244,Vox Machina,3,01:54:14,Liam,Vax,Dexterity,Yes,28,19,No,With advantage
245,Vox Machina,3,01:54:55,Liam,Vax,Wisdom Save,Yes,7,5,No,null
246,Vox Machina,3,01:56:26,Orion,Tiberius,Athletics,Yes,21,20,No,Unannounced nat20 or bad math/mod
247,Vox Machina,3,01:58:05,Taliesin,Percy,Attack,Yes,23,11,No,Bad News
248,Vox Machina,3,01:58:27,Taliesin,Percy,Damage,No,20,null,No,null
249,Vox Machina,3,01:59:58,Taliesin,Percy,Attack,Yes,15,3,No,Bad News
250,Vox Machina,3,02:00:43,Laura,Vex,Perception,Yes,null,20,Yes,null
251,Vox Machina,3,02:14:27,Marisha,Keyleth,Stealth,Yes,22,16,No,null
252,Vox Machina,3,02:14:27,Marisha,Keyleth,Stealth,Yes,19,13,No,Disregarded due to advantage
253,Vox Machina,3,02:14:27,Laura,Vex,Stealth,Yes,15,6,No,With advantage
254,Vox Machina,3,02:15:30,Laura,Vex,Survival,Yes,16,10,No,null
255,Vox Machina,3,02:20:09,Marisha,Keyleth,Persuasion,Yes,9,9,No,With disadvantage
256,Vox Machina,3,02:20:09,Marisha,Keyleth,Persuasion,Yes,null,null,No,Disregarded due to disadvantage
257,Vox Machina,3,02:22:06,Laura,Vex,Persuasion,Yes,19,12,No,null
258,Vox Machina,3,02:22:10,Travis,Grog,Insight,Yes,16,16,No,null
259,Vox Machina,3,02:29:23,Marisha,Keyleth,Insight,Yes,18,8,No,null
260,Vox Machina,3,02:29:23,Taliesin,Percy,Insight,Yes,null,1,Yes,null
261,Vox Machina,3,02:29:23,Sam,Scanlan,Insight,Yes,13,13,No,null
262,Vox Machina,3,02:29:23,Orion,Tiberius,Insight,Yes,14,17,No,null
263,Vox Machina,3,02:29:23,Liam,Vax,Insight,Yes,4,2,No,null
264,Vox Machina,3,02:29:23,Laura,Vex,Insight,Yes,24,17,No,null
265,Vox Machina,3,02:30:56,Sam,Scanlan,Persuasion,Yes,17,8,No,null
266,Vox Machina,3,02:31:44,Sam,Scanlan,Performance,Yes,18,5,No,null
267,Vox Machina,4,00:19:14,Sam,Scanlan,Stealth,Yes,9,7,No,null
268,Vox Machina,4,00:19:14,Liam,Vax,Stealth,Yes,29,16,No,null
269,Vox Machina,4,00:20:35,Liam,Vax,Perception,Yes,11,1,No,null
270,Vox Machina,4,00:20:35,Sam,Scanlan,Perception,Yes,null,null,No,Bad
271,Vox Machina,4,00:20:35,Sam,Scanlan,Perception,Yes,null,null,No,Bad
272,Vox Machina,4,00:22:59,Ashley,Pike,Religion,Yes,null,20,Yes,null
273,Vox Machina,4,00:39:32,Sam,Scanlan,Insight,Yes,13,13,No,null
274,Vox Machina,4,00:39:55,Ashley,Pike,Insight,Yes,null,20,Yes,null
275,Vox Machina,4,00:58:24,Taliesin,Percy,Persuasion,Yes,16,10,No,null
276,Vox Machina,4,01:07:38,Taliesin,Percy,Tinkering,Yes,17,8,No,Trapping Arrow
277,Vox Machina,4,01:10:35,Travis,Grog,Stealth,Yes,null,1,Yes,null
278,Vox Machina,4,01:10:35,Marisha,Keyleth,Stealth,Yes,19,17,No,null
279,Vox Machina,4,01:10:35,Taliesin,Percy,Stealth,Yes,18,13,No,null
280,Vox Machina,4,01:10:35,Ashley,Pike,Stealth,Yes,null,1,Yes,null
281,Vox Machina,4,01:10:35,Sam,Scanlan,Stealth,Yes,14,12,No,null
282,Vox Machina,4,01:10:35,Orion,Tiberius,Stealth,Yes,16,13,No,null
283,Vox Machina,4,01:10:35,Liam,Vax,Stealth,Yes,20,7,No,null
284,Vox Machina,4,01:13:00,Liam,Vax,Investigation,Yes,12,9,No,null
285,Vox Machina,4,01:25:10,Travis,Grog,Stealth,Yes,27,15,No,null
286,Vox Machina,4,01:25:10,Marisha,Keyleth,Stealth,Yes,18,6,No,With disadvantage and Pass Without a Trace
287,Vox Machina,4,01:25:10,Marisha,Keyleth,Stealth,Yes,null,null,No,Disregarded due to disadvantage
288,Vox Machina,4,01:25:10,Taliesin,Percy,Stealth,Yes,22,7,No,With Pass Without a Trace
289,Vox Machina,4,01:25:10,Ashley,Pike,Stealth,Yes,23,13,No,With Pass Without a Trace
290,Vox Machina,4,01:25:10,Sam,Scanlan,Stealth,Yes,15,3,No,With Pass Without a Trace
291,Vox Machina,4,01:25:10,Orion,Tiberius,Stealth,Yes,18,5,No,With Pass Without a Trace
292,Vox Machina,4,01:25:10,Liam,Vax,Stealth,Yes,28,5,No,With Pass Without a Trace
293,Vox Machina,4,01:30:35,Travis,Grog,Stealth,Yes,23,11,No,With Pass Without a Trace
294,Vox Machina,4,01:30:35,Marisha,Keyleth,Stealth,Yes,null,1,Yes,With Pass Without a Trace
295,Vox Machina,4,01:30:35,Taliesin,Percy,Stealth,Yes,29,14,No,With Pass Without a Trace
296,Vox Machina,4,01:30:35,Ashley,Pike,Stealth,Yes,21,11,No,With Pass Without a Trace
297,Vox Machina,4,01:30:35,Sam,Scanlan,Stealth,Yes,30,18,No,With Pass Without a Trace
298,Vox Machina,4,01:30:35,Orion,Tiberius,Stealth,Yes,20,7,No,With Pass Without a Trace
